text,textLen,wordCount,features,scaledFeatures,tokenizedWordsString
"The Project Gutenberg eBook of Alice’s Adventures in Wonderland, by Lewis Carroll",81,12,"[81.0,12.0]","[1.3028155760890054,0.6745153932746865]","[the, project, gutenberg, ebook, of, alice’s, adventures, in, wonderland,, by, lewis, carroll]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
This eBook is for the use of anyone anywhere in the United States and,69,14,"[69.0,14.0]","[0.8954984394265252,1.0384566305038794]","[this, ebook, is, for, the, use, of, anyone, anywhere, in, the, united, states, and]"
most other parts of the world at no cost and with almost no restrictions,72,14,"[72.0,14.0]","[0.9973277235921453,1.0384566305038794]","[most, other, parts, of, the, world, at, no, cost, and, with, almost, no, restrictions]"
"whatsoever. You may copy it, give it away or re-use it under the terms",70,14,"[70.0,14.0]","[0.9294415341483986,1.0384566305038794]","[whatsoever., you, may, copy, it,, give, it, away, or, re-use, it, under, the, terms]"
of the Project Gutenberg License included with this eBook or online at,70,12,"[70.0,12.0]","[0.9294415341483986,0.6745153932746865]","[of, the, project, gutenberg, license, included, with, this, ebook, or, online, at]"
"www.gutenberg.org. If you are not located in the United States, you",67,11,"[67.0,11.0]","[0.8276122499827785,0.49254477466009]","[www.gutenberg.org., if, you, are, not, located, in, the, united, states,, you]"
will have to check the laws of the country where you are located before,71,14,"[71.0,14.0]","[0.963384628870272,1.0384566305038794]","[will, have, to, check, the, laws, of, the, country, where, you, are, located, before]"
using this eBook.,17,3,"[17.0,3.0]","[-0.8695424861108895,-0.9632201742566815]","[using, this, ebook.]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
Title: Alice’s Adventures in Wonderland,39,5,"[39.0,5.0]","[-0.12279440222967557,-0.5992789370274886]","[title:, alice’s, adventures, in, wonderland]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
Author: Lewis Carroll,21,3,"[21.0,3.0]","[-0.7337701072233961,-0.9632201742566815]","[author:, lewis, carroll]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"Release Date: January, 1991 [eBook #11]",39,6,"[39.0,6.0]","[-0.12279440222967557,-0.4173083184128922]","[release, date:, january,, 1991, [ebook, #11]]"
"[Most recently updated: October 12, 2020]",41,6,"[41.0,6.0]","[-0.05490821278592884,-0.4173083184128922]","[[most, recently, updated:, october, 12,, 2020]]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
Language: English,17,2,"[17.0,2.0]","[-0.8695424861108895,-1.145190792871278]","[language:, english]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
Character set encoding: UTF-8,29,4,"[29.0,4.0]","[-0.46222534944840915,-0.781249555642085]","[character, set, encoding:, utf-8]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
Produced by: Arthur DiBianca and David Widger,45,7,"[45.0,7.0]","[0.08086416610156459,-0.23533769979829575]","[produced, by:, arthur, dibianca, and, david, widger]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
*** START OF THE PROJECT GUTENBERG EBOOK ALICE’S ADVENTURES IN WONDERLAND ***,77,12,"[77.0,12.0]","[1.167043197201512,0.6745153932746865]","[***, start, of, the, project, gutenberg, ebook, alice’s, adventures, in, wonderland, ***]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
[Illustration],14,1,"[14.0,1.0]","[-0.9713717702765096,-1.3271614114858743]",[[illustration]]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
Alice’s Adventures in Wonderland,32,4,"[32.0,4.0]","[-0.36039606528278906,-0.781249555642085]","[alice’s, adventures, in, wonderland]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
by Lewis Carroll,16,3,"[16.0,3.0]","[-0.9034855808327629,-0.9632201742566815]","[by, lewis, carroll]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
THE MILLENNIUM FULCRUM EDITION 3.0,34,5,"[34.0,5.0]","[-0.29250987583904237,-0.5992789370274886]","[the, millennium, fulcrum, edition, 3.0]"
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
Contents,8,1,"[8.0,1.0]","[-1.1750303386077496,-1.3271614114858743]",[contents]
"",0,1,"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]",[]
CHAPTER I.     Down the Rabbit-Hole,36,10,"[36.0,10.0]","[-0.22462368639529565,0.31057415604549354]","[, chapter, i., , , , , down, the, rabbit-hole]"
CHAPTER II.    The Pool of Tears,33,10,"[33.0,10.0]","[-0.3264529705609157,0.31057415604549354]","[, chapter, ii., , , , the, pool, of, tears]"
CHAPTER III.   A Caucus-Race and a Long Tale,45,11,"[45.0,11.0]","[0.08086416610156459,0.49254477466009]","[, chapter, iii., , , a, caucus-race, and, a, long, tale]"
CHAPTER IV.    The Rabbit Sends in a Little Bill,49,13,"[49.0,13.0]","[0.21663654498905804,0.8564860118892829]","[, chapter, iv., , , , the, rabbit, sends, in, a, little, bill]"
CHAPTER V.     Advice from a Caterpillar,41,11,"[41.0,11.0]","[-0.05490821278592884,0.49254477466009]","[, chapter, v., , , , , advice, from, a, caterpillar]"
CHAPTER VI.    Pig and Pepper,30,9,"[30.0,9.0]","[-0.4282822547265358,0.1286035374308971]","[, chapter, vi., , , , pig, and, pepper]"
CHAPTER VII.   A Mad Tea-Party,31,8,"[31.0,8.0]","[-0.39433916000466246,-0.053367081183699316]","[, chapter, vii., , , a, mad, tea-party]"
CHAPTER VIII.  The Queen’s Croquet-Ground,42,7,"[42.0,7.0]","[-0.02096511806405548,-0.23533769979829575]","[, chapter, viii., , the, queen’s, croquet-ground]"
CHAPTER IX.    The Mock Turtle’s Story,39,10,"[39.0,10.0]","[-0.12279440222967557,0.31057415604549354]","[, chapter, ix., , , , the, mock, turtle’s, story]"
CHAPTER X.     The Lobster Quadrille,37,10,"[37.0,10.0]","[-0.19068059167342227,0.31057415604549354]","[, chapter, x., , , , , the, lobster, quadrille]"
CHAPTER XI.    Who Stole the Tarts?,36,10,"[36.0,10.0]","[-0.22462368639529565,0.31057415604549354]","[, chapter, xi., , , , who, stole, the, tarts?]"
